title,company,location,link
[쿠팡CFS]Operation Manager/Area Manager(물류센터/Hub 운영담당자),쿠팡풀필먼트서비스(유),광주,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41314489
[11.04면접/채용대행/정규직/기숙사] 제품생산 및 제조(향남),㈜피플씨앤에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41366213
[동트는농가] 직영사업장 정규직 직원 채용,동트는농가영농조합법인,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41410302
[유니랩 정규직/기숙사] 제품생산 및 제조(향남),㈜피플씨앤에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41430393
"정규직 바로채용 H/J 기능테스크  주간근무 연봉3,000만원이상~",(주)제일넷,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41449478
"[쿠팡CFS]인사부문(HRM, Recruiting, ER, 총무) 대규모 채용",쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41258722
"[쿠팡CFS]EHS(안전관리, 보건관리, 소방관리)경력",쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41258743
반도체 설비 엔지니어 모집,(주)BOB,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41248628
[ 통근버스/2교대/상여금120 ] 오뚜기 라면 생산/자재/포장/검수,(주)알에스이알,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41418035
[10.29면접/채용대행/정규직/기숙사] 제품생산 및 제조업무(팔탄,㈜피플씨앤에스,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41299437
[수원/광교(수지·상현)] 영어 선생님 모집,영어앞에당당한아이들 ㈜리케이온교육,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41162013
기숙사 무료/자동차 부품 조립 /주간/ 동반가능/신입 초보/주급,(주)이엔제이,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41312305
SENJU METAL 믹싱팀 신입사원모집,한국천주금속(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41386577
쿠팡 용인2/3 물류센터 지게차 직원 채용,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41066870
[쿠팡CFS] 안성2/3 센터 인사팀 사원모집,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41152883
[쿠팡 CFS] 용인 신선센터 인사팀 사무직원 채용,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41084108
[경영관리팀] 품질관리 / 생산관리 모집,브로스앤컴퍼니(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41298501
[쿠팡 CFS] 용인 신선센터 인사팀(HR) 직원 채용,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41379312
"[쿠팡 CFS] 용인 2,3 물류센터 지게차 주간 근무자 채용",쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41379370
"생산관리팀 출하관리, MES 실적관리",(주)제이앤티지,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41444704
(평택/주5일) 물류센터 사무직 모집합니다.,(주)에이원종합물류,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41450341
"2차전지 장비,OLED LCD(진공장비) : 진공물류TASK파트 설계 모집",㈜나인테크,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41448130
[쿠팡CFS]FC Training Supervisor / 물류센터 트레이닝 리드,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41258731
"자재관리, 납품(배송) 담당자 모집(정규직)",(주)이엠아이,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41437903
